ycpu,endpoint,id,instance,job,metrics_path,namespace,node,pod,service,value
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003074510170277138
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003154377048175121
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002984147825968023
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002923290061060087
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00031231444052636073
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003094813091049706
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002796519276226045
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002769042591719452
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002800552938108795
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0003040310185832055
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00028168730214439845
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002774296378053383
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002723983578581022
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00028175892934735375
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002668058164614203
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.0002680239789424968
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00026507123306208577
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00022713599999999996
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00018097791305572307
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00015783032652085584
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00013475614461964792
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,0.00011787786775483733
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,8.831449845705772e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,5.9349374756624025e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod64901fa4_ace9_4666_bac0_7bb41324c22a.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-q6jrb,prometheus-kube-prometheus-kubelet,3.616873052930184e-05
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.00032802346537994805
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.00029087377677277103
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.00028853435152426983
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0002766970732043746
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0002983652724132184
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0002762343066723091
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0003070935172433949
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0003024682977520147
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0003177793648786723
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.00029613532499223885
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.00030138666799034224
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0002963791996424255
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod76eeaae6_47b2_4109_838d_5b7fc2d64d31.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-7fpj2,prometheus-kube-prometheus-kubelet,0.0003205551838783404
